T000000101202609202000100000CC0100C0000012500000USDAP  AP092101VENDOR INV 88213 LUMBER              
T000000102202609201200300000CC0100D0000012500000USDAP  AP092101INVENTORY RECEIPT PO 55710           
T000000103202609192000100000CC0200C0000000487550USDAP  AP092101VENDOR INV 88240 SUPPLIES            
T000000104202609196100200000CC0200D0000000487550USDAP  AP092101STORE SUPPLIES STORE 0200            
T000000105202609202000100000CC0300C0000001820000USDAP  AP092101VENDOR INV 88301 MARKETING           
T000000106202609206200300000CC0300D0000001820000USDAP  AP092101LEGACY MARKETING PROGRAM Q3          
T000000107202609211000100000CC0100C0000006000000USDAP  AP092101AP PAYMENT RUN 0921                  
T000000108202609212000100000CC0100D0000006000000USDAP  AP092101AP PAYMENT RUN 0921                  
T000000201202609211100200000CC0400D0000004321099USDAR  AR092101PRO CUSTOMER INV 77120               
T000000202202609214000100000CC0400C0000004001017USDAR  AR092101PRO CUSTOMER INV 77120 SALES         
T000000203202609212300100000CC0400C0000000320082USDAR  AR092101SALES TAX INV 77120                  
T000000204202609211000100000CC0400D0000001500000USDAR  AR092101CUSTOMER PAYMENT 77002               
T000000205202609211100200000CC0400C0000001500000USDAR  AR092101CUSTOMER PAYMENT 77002               
T000000206202609211100200000CC0500D0000000250000CADAR  AR092101INSTALL INV 77130 CANADA             
T000000207202609214100100000CC0500C0000000250000CADAR  AR092101INSTALL INV 77130 CANADA             
T000000208202609211100200000CC0400D0000000000000USDAR  AR092101ZERO VALUE ADJUSTMENT 77002          
T000000301202609156000100000CC0100D0000021050000USDPAY PAY09211BIWEEKLY PAYROLL PE 0913             
T000000302202609152100200000CC0100C0000021050000USDPAY PAY09211BIWEEKLY PAYROLL PE 0913             
T000000303202609182100200000CC0100D0000021050000USDPAY PAY09211PAYROLL DISBURSEMENT PE 0913         
T000000304202609181000100000CC0100C0000021050000USDPAY PAY09211PAYROLL DISBURSEMENT PE 0913         
T000000305202608316000100000CC0600D0000000125000USDPAY PAY09211AUG PAYROLL CORRECTION               
T000000306202608312100200000CC0600C0000000125000USDPAY PAY09211AUG PAYROLL CORRECTION               
T000000401202609215000100000CC0100D0000009875000USDMAN MAN09211COGS RECLASS SEPT WK3                
T000000402202609211200300000CC0100C0000009875000USDMAN MAN09211COGS RECLASS SEPT WK3                
T000000403202609216900900000CC0700D0000000050000USDMAN MAN09211DISCONTINUED PROGRAM TRUE-UP         
T000000404202609211000100000CC0700C0000000050000USDMAN MAN09211DISCONTINUED PROGRAM TRUE-UP         
T000000405202609219999999999CC0100D0000000074525USDMAN MAN09211SUSPENSE - UNKNOWN ACCOUNT           
T000000406202609211000100000CC0100C0000000074525USDMAN MAN09211SUSPENSE OFFSET                      
T000000407202609211500100000CC0800X0000001200000USDMAN MAN09211EQUIPMENT CAPITALIZATION             
T000000408202609211000100000CC0800C0000001200000USDMAN MAN09211EQUIPMENT CAPITALIZATION             
T000000409202609213000100000CC0100C0000000100000USDMAN MAN09211                                     
