0000001T000000107202609211000100000ACC0100-0000006000000CUSDAP  AP092101AP PAYMENT RUN 0921           20260921          
0000002T000000102202609201200300000ACC0100+0000012500000DUSDAP  AP092101INVENTORY RECEIPT PO 55710    20260921          
0000003T000000101202609202000100000LCC0100+0000012500000CUSDAP  AP092101VENDOR INV 88213 LUMBER       20260921          
0000004T000000103202609192000100000LCC0200+0000000487550CUSDAP  AP092101VENDOR INV 88240 SUPPLIES     20260921          
0000005T000000105202609202000100000LCC0300+0000001820000CUSDAP  AP092101VENDOR INV 88301 MARKETING    20260921          
0000006T000000108202609212000100000LCC0100-0000006000000DUSDAP  AP092101AP PAYMENT RUN 0921           20260921          
0000007T000000104202609196100200000ECC0200+0000000487550DUSDAP  AP092101STORE SUPPLIES STORE 0200     20260921          
0000008T000000204202609211000100000ACC0400+0000001500000DUSDAR  AR092101CUSTOMER PAYMENT 77002        20260921          
0000009T000000201202609211100200000ACC0400+0000004321099DUSDAR  AR092101PRO CUSTOMER INV 77120        20260921          
0000010T000000205202609211100200000ACC0400-0000001500000CUSDAR  AR092101CUSTOMER PAYMENT 77002        20260921          
0000011T000000203202609212300100000LCC0400+0000000320082CUSDAR  AR092101SALES TAX INV 77120           20260921          
0000012T000000202202609214000100000RCC0400+0000004001017CUSDAR  AR092101PRO CUSTOMER INV 77120 SALES  20260921          
0000013T000000404202609211000100000ACC0700-0000000050000CUSDMAN MAN09211DISCONTINUED PROGRAM TRUE-UP  20260921          
0000014T000000406202609211000100000ACC0100-0000000074525CUSDMAN MAN09211SUSPENSE OFFSET               20260921          
0000015T000000408202609211000100000ACC0800-0000001200000CUSDMAN MAN09211EQUIPMENT CAPITALIZATION      20260921          
0000016T000000402202609211200300000ACC0100-0000009875000CUSDMAN MAN09211COGS RECLASS SEPT WK3         20260921          
0000017T000000409202609213000100000QCC0100+0000000100000CUSDMAN MAN09211NO DESCRIPTION                20260921          
0000018T000000401202609215000100000ECC0100+0000009875000DUSDMAN MAN09211COGS RECLASS SEPT WK3         20260921          
0000019T000000304202609181000100000ACC0100-0000021050000CUSDPAY PAY09211PAYROLL DISBURSEMENT PE 0913  20260921          
0000020T000000302202609152100200000LCC0100+0000021050000CUSDPAY PAY09211BIWEEKLY PAYROLL PE 0913      20260921          
0000021T000000303202609182100200000LCC0100-0000021050000DUSDPAY PAY09211PAYROLL DISBURSEMENT PE 0913  20260921          
0000022T000000301202609156000100000ECC0100+0000021050000DUSDPAY PAY09211BIWEEKLY PAYROLL PE 0913      20260921          
